Consejo Departamental;Ano;AGRICOLA;AGRO NOMICA;CIVIL;ECONOMICA;ELECTRICA;ELEC TRONICA;FORESTAL;GEOLOGICA;INDUSTRIAL Y DE SISTEMAS;INDUSTRIAS ALIMENTARIAS;MECANICA;MECANICA ELECTRICA;META LURGICA;MINAS;PESQUERIA;PETROLERA Y     PETRO QUIMICA;QUIMICA;SANITARIA Y AMBIENTAL;ZOOTECNIA
CUSCO;2009;19;1,045;1,839;9;529;26;12;221;415;10;102;70;81;120;7;1;455;1;381
HUANCAVELICA;2009;12;79;102;2;13;34;8;3;19;2;8;8;13;47;7;0;21;2;88
HUANUCO;2009;10;441;496;1;19;2;7;6;179;6;6;11;4;11;13;0;5;2;29
HUANUCO TINGO MARIA;2009;5;281;24;0;2;2;83;2;27;80;0;2;1;2;2;0;6;17;149
ICA;2009;12;987;1,076;3;23;16;1;16;41;2;24;748;9;66;151;1;234;5;8
JUNIN;2009;51;768;591;0;508;17;367;22;321;170;300;44;168;445;9;0;430;8;500
LA LIBERTAD;2009;200;858;1,988;8;50;286;19;23;1,968;46;350;124;280;123;31;7;1,488;14;117
LAMBAYEQUE;2009;952;1,418;1,471;5;6;37;33;7;540;27;31;718;4;10;20;0;308;7;312
LIMA;2009;1,549;4,426;12,851;765;1,863;2,299;418;1,521;7,048;740;2,396;3,248;738;1,960;1,372;470;3,790;1,445;848
LORETO;2009;2;423;271;1;12;10;243;3;44;86;18;36;1;2;17;4;292;11;10
MADRE DE DIOS;2009;1;53;40;1;7;1;50;6;17;2;2;0;5;4;6;0;14;3;15
MOQUEGUA;2009;15;124;269;16;12;32;0;29;115;19;89;42;52;43;43;0;67;9;7
PASCO;2009;2;54;20;1;7;0;2;73;18;1;6;5;85;204;1;0;28;21;112
PIURA;2009;84;1,122;902;2;29;35;1;42;1,221;25;67;281;2;260;296;135;205;10;177
PUNO;2009;246;872;879;602;52;70;5;89;412;14;11;248;62;178;21;1;140;1;33
S.M. MOYOBAMBA;2009;18;124;111;1;0;2;15;2;26;25;3;11;0;2;6;0;8;75;21
S.M. TARAPOTO;2009;24;376;395;3;12;6;41;1;159;16;12;11;0;0;5;0;16;23;58
TACNA;2009;39;301;495;70;23;75;3;51;313;91;79;44;94;139;133;0;70;3;23
TUMBES;2009;24;296;110;0;2;2;12;3;45;3;1;13;0;7;115;2;13;1;9
UCAYALI;2009;11;272;180;4;27;8;174;2;60;10;9;22;2;0;8;5;35;5;40
AMAZONAS;2010;80;19;79;0;4;1;11;1;37;35;3;14;0;0;12;1;7;6;36
ANCASH-CHIMBOTE;2010;117;22;646;3;24;27;2;4;349;113;39;148;17;8;70;0;91;5;8
ANCASH-HUARAZ;2010;296;270;560;3;8;4;12;11;78;88;7;13;8;101;13;0;18;132;27
APURIMAC;2010;230;32;89;5;24;4;5;8;68;48;2;16;2;17;4;1;19;0;29
AREQUIPA;2010;1110;53;1587;28;153;363;4;770;1137;259;288;416;492;190;132;0;872;6;74
AYACUCHO;2010;667;36;577;0;14;3;6;4;29;94;1;13;1;218;3;0;172;0;14
CAJAMARCA;2010;778;35;1221;1;5;13;86;21;158;52;5;31;10;26;2;0;20;31;144
CALLAO;2010;58;25;218;5;148;105;13;65;162;37;83;29;6;11;98;0;79;86;8
CUSCO;2010;1154;16;2020;10;636;41;12;243;485;41;131;35;89;154;7;1;466;0;435
HUANCAVELICA;2010;80;12;103;3;13;44;8;2;19;5;8;8;13;50;8;0;21;2;93
HUANUCO;2010;456;7;485;1;17;1;6;4;183;22;5;6;1;12;10;0;3;1;27
HUANUCO-TINGO MARIA;2010;264;3;27;1;4;2;141;1;32;90;0;1;1;2;2;0;5;5;162
ICA;2010;964;10;1090;4;12;23;2;7;45;10;19;793;13;66;148;0;256;6;10
JUNIN;2010;765;56;713;2;577;23;397;16;351;214;326;19;185;508;8;0;442;8;517
LA LIBERTAD;2010;884;182;2066;7;55;299;20;25;2102;134;392;102;292;132;31;5;1517;15;121
LAMBAYEQUE;2010;1364;954;1383;3;19;41;44;5;596;45;29;771;5;8;19;1;321;6;317
LIMA;2010;4823;1750;13943;781;2128;2512;466;1595;7744;964;2645;3455;809;2194;1505;512;4034;1666;928
LORETO;2010;423;3;269;2;15;9;267;1;33;104;14;31;0;2;13;0;287;9;7
MADRE DE DIOS;2010;43;3;30;0;12;2;65;6;17;4;3;2;5;5;5;0;11;4;11
MOQUEGUA;2010;130;16;269;19;9;38;0;23;125;28;91;46;52;42;51;0;63;7;5
PASCO;2010;71;2;17;0;6;1;1;65;21;2;6;4;90;213;0;0;25;36;123
PIURA;2010;1158;89;985;4;24;64;2;57;1229;75;52;300;3;276;303;135;201;7;179
PUNO;2010;939;277;975;634;46;85;6;109;395;149;11;297;72;197;28;0;151;2;15
S.M. MOYOBAMBA;2010;120;17;95;2;2;2;15;2;21;24;3;9;1;2;5;0;8;99;20
S.M. TARAPOTO;2010;417;20;462;1;8;10;55;1;122;121;12;12;1;0;5;0;24;26;68
TACNA;2010;284;33;550;139;25;85;4;43;291;109;83;38;98;151;137;0;70;4;17
TUMBES;2010;327;23;99;1;2;3;19;1;42;6;2;12;0;9;134;2;15;2;9
UCAYALI;2010;287;13;144;4;21;9;183;3;67;11;7;15;2;0;6;4;31;1;40
AMAZONAS;2011;85;17;81;1;4;1;15;4;46;64;4;15;0;0;12;1;8;8;37
ANCASH-CHIMBOTE;2011;118;20;720;3;25;28;3;7;393;150;43;179;17;8;73;0;97;6;10
ANCASH-HUARAZ;2011;350;287;600;3;8;5;13;12;109;103;7;13;8;118;13;0;18;163;28
APURIMAC;2011;285;31;107;5;28;5;5;13;86;55;2;17;3;20;4;1;21;0;31
AREQUIPA;2011;1160;50;1719;40;166;400;5;817;1252;289;320;439;579;238;147;0;964;7;74
AYACUCHO;2011;721;59;611;0;14;3;7;5;36;133;1;14;1;231;3;0;184;1;14
CAJAMARCA;2011;813;33;1333;2;6;16;90;41;194;63;8;33;15;31;2;0;21;35;160
CALLAO;2011;62;10;236;7;163;116;16;87;197;49;87;31;8;15;110;0;89;98;11
CUSCO;2011;1243;13;2121;10;689;57;12;282;565;56;163;35;96;176;7;1;481;0;478
HUANCAVELICA;2011;97;9;111;3;15;52;8;6;27;6;8;9;14;55;8;0;21;2;109
HUANUCO;2011;504;7;545;1;17;1;6;5;223;33;5;6;2;13;11;0;4;3;29
HUANUCO-TINGO MARIA;2011;281;3;28;1;4;2;165;1;44;106;0;1;1;2;2;0;5;16;169
ICA;2011;1017;9;1179;4;12;32;3;7;56;13;19;891;22;83;154;0;297;7;11
JUNIN;2011;828;56;809;2;643;29;429;20;445;256;352;20;240;640;9;0;482;9;567
LA LIBERTAD;2011;918;202;2238;8;55;345;22;29;2373;169;474;108;356;170;34;5;1576;17;133
LAMBAYEQUE;2011;1414;1000;1447;3;19;56;56;12;729;60;38;912;5;10;19;1;350;6;346
LIMA;2011;4894;1080;14576;832;2329;2771;495;2427;8376;1045;2810;3588;866;2361;1580;533;4199;1863;963
LORETO;2011;450;1;297;2;15;11;289;3;45;119;14;33;0;2;14;0;303;15;8
MADRE DE DIOS;2011;42;3;31;0;12;2;83;6;18;13;3;2;6;6;5;0;11;4;13
MOQUEGUA;2011;141;16;295;30;9;41;0;27;152;31;100;47;59;52;54;0;65;8;5
PASCO;2011;93;1;18;0;6;1;2;70;33;3;8;4;100;244;0;0;25;56;156
PIURA;2011;1198;84;1077;5;24;78;4;81;1339;94;52;330;6;328;337;148;214;10;186
PUNO;2011;986;315;1072;691;50;109;6;124;465;173;11;330;91;229;30;0;170;2;14
S.M. MOYOBAMBA;2011;128;17;97;2;2;2;16;2;30;28;3;10;1;2;6;0;9;114;22
S.M. TARAPOTO;2011;468;18;497;2;9;11;60;3;142;143;13;12;1;0;5;0;25;37;80
TACNA;2011;315;30;609;181;25;93;4;48;337;126;93;38;102;173;142;0;75;5;17
TUMBES;2011;376;23;101;1;2;3;31;2;50;6;2;14;0;9;166;3;17;2;9
UCAYALI;2011;312;1;149;4;22;9;203;15;75;12;7;16;2;0;7;6;32;3;42
AMAZONAS;2012;93;20;93;1;6;2;15;4;56;103;4;19;0;0;12;1;8;9;42
ANCASH-CHIMBOTE;2012;125;23;827;3;28;29;3;4;440;177;44;208;19;8;83;0;103;5;10
ANCASH-HUARAZ;2012;352;284;604;3;10;5;12;11;110;105;7;12;7;119;13;0;18;165;27
APURIMAC;2012;310;36;124;5;30;4;6;10;108;96;4;18;3;43;5;1;22;1;31
AREQUIPA;2012;1232;51;1795;58;182;441;5;855;1368;327;349;459;666;311;167;1;1085;10;72
AYACUCHO;2012;725;60;626;0;14;3;7;4;39;135;1;15;1;228;3;0;184;1;14
CAJAMARCA;2012;835;34;1408;1;5;15;98;49;272;75;9;33;18;34;2;0;23;47;173
CALLAO;2012;63;26;260;7;176;128;18;74;228;59;99;40;10;16;130;1;111;116;11
CUSCO;2012;1328;17;2201;11;706;60;13;313;664;68;192;38;116;209;8;1;491;1;515
HUANCAVELICA;2012;115;13;123;3;14;51;8;3;28;7;9;8;14;65;8;0;24;2;126
HUANUCO;2012;527;13;648;0;19;1;7;5;279;47;5;9;3;14;12;1;4;4;29
HUANUCO-TINGO MARIA;2012;309;3;30;2;3;2;180;1;55;125;1;1;1;2;2;0;6;33;185
ICA;2012;1079;10;1267;4;12;44;3;8;75;16;20;965;25;104;164;0;366;13;15
JUNIN;2012;899;62;868;2;723;36;448;25;544;305;398;25;310;752;10;2;530;11;617
LA LIBERTAD;2012;950;235;2400;8;60;386;23;26;2560;217;558;114;401;202;34;7;1624;19;139
LAMBAYEQUE;2012;1464;1089;1603;4;26;68;62;6;854;74;47;1021;6;9;20;1;390;9;364
LIMA;2012;4898;1890;14966;881;2489;3013;524;1754;9134;1153;2978;3694;942;2496;1628;548;4350;2072;985
LORETO;2012;475;3;335;3;19;10;322;2;67;131;14;34;1;2;15;0;332;29;9
MADRE DE DIOS;2012;52;4;59;0;15;3;115;5;23;18;3;2;7;7;6;0;16;5;13
MOQUEGUA;2012;162;21;354;60;10;44;0;27;210;37;116;59;66;54;61;0;62;8;5
PASCO;2012;119;2;23;0;6;1;2;77;45;5;8;5;115;255;0;0;25;78;186
PIURA;2012;1224;91;1155;5;24;87;4;94;1421;107;51;350;7;358;358;163;233;12;196
PUNO;2012;1011;349;1146;743;59;123;6;141;515;193;11;376;108;254;33;0;194;2;15
S.M. MOYOBAMBA;2012;127;17;92;2;2;2;20;2;41;32;5;10;1;1;6;0;9;140;25
S.M. TARAPOTO;2012;516;20;511;2;9;11;64;1;169;156;16;15;1;0;4;0;22;54;89
TACNA;2012;362;33;695;221;26;101;4;60;365;151;103;45;118;190;157;0;84;6;17
TUMBES;2012;399;25;117;1;2;4;36;1;60;8;1;16;0;10;194;5;17;2;9
UCAYALI;2012;323;15;147;4;21;9;215;3;81;15;8;15;2;0;8;6;31;5;41
AMAZONAS;2013;95;20;100;3;6;3;15;4;59;130;4;19;0;0;11;1;9;9;45
ANCASH-CHIMBOTE;2013;130;26;891;3;28;31;3;4;490;194;48;218;22;7;87;0;105;5;10
ANCASH-HUARAZ;2013;418;331;667;3;10;5;14;11;141;117;7;12;8;138;14;0;20;193;31
APURIMAC;2013;346;37;152;5;33;5;6;11;166;168;4;19;4;51;5;1;22;1;31
AREQUIPA;2013;1269;50;1896;75;200;471;5;909;1496;354;386;471;775;372;178;1;1194;26;71
AYACUCHO;2013;824;84;655;0;16;5;6;5;58;195;1;17;1;271;4;0;204;3;17
CAJAMARCA;2013;886;22;1515;1;6;18;122;71;317;92;9;33;20;43;2;0;23;89;191
CALLAO;2013;67;25;272;8;181;146;18;76;247;66;110;40;10;18;138;1;114;121;12
CUSCO;2013;1404;17;2376;14;734;86;15;340;769;81;212;37;132;241;8;1;513;1;566
HUANCAVELICA;2013;127;11;140;3;14;57;9;3;32;10;10;7;14;73;8;0;24;3;136
HUANUCO;2013;558;12;732;0;18;1;9;5;319;57;9;11;4;15;12;1;6;7;35
HUANUCO-TINGO MARIA;2013;325;2;30;2;3;2;195;1;63;141;1;1;1;2;2;0;8;46;202
ICA;2013;1142;7;1343;4;15;59;3;8;118;19;21;1029;32;117;170;0;414;48;16
JUNIN;2013;964;66;988;2;809;48;476;30;638;355;434;26;373;880;10;2;580;16;642
LA LIBERTAD;2013;1008;278;2606;8;61;446;23;29;2949;255;630;118;503;275;36;7;1713;26;148
LAMBAYEQUE;2013;1508;1174;1745;4;26;105;71;6;1029;90;55;1093;6;9;20;1;431;10;395
LIMA;2013;5017;1912;15602;939;2666;3284;545;1836;10064;1291;3237;3783;1037;2655;1704;586;4620;2323;996
LORETO;2013;498;4;349;3;18;10;332;3;89;145;16;32;1;2;15;0;347;46;9
MADRE DE DIOS;2013;54;4;61;1;14;3;133;5;23;23;3;2;7;7;6;0;17;5;15
MOQUEGUA;2013;173;24;380;88;9;46;0;30;232;49;121;80;72;55;67;0;69;9;5
PASCO;2013;149;2;23;0;6;1;2;87;56;8;8;5;133;293;0;0;26;86;212
PIURA;2013;1282;93;1264;5;24;110;5;122;1588;132;54;388;8;404;417;185;265;14;209
PUNO;2013;1064;397;1253;805;58;139;6;158;581;208;12;428;116;276;35;0;217;3;17
S.M. MOYOBAMBA;2013;133;16;98;2;3;2;22;2;51;39;5;10;3;1;6;0;11;168;27
S.M. TARAPOTO;2013;569;18;535;3;11;11;69;2;205;187;15;15;1;0;4;0;22;62;98
TACNA;2013;383;35;746;284;26;115;4;65;406;163;112;47;129;199;172;0;88;6;17
TUMBES;2013;419;24;120;1;2;4;45;1;65;9;1;16;0;10;246;5;17;2;9
UCAYALI;2013;364;15;147;4;24;10;243;3;91;23;10;15;2;0;8;6;31;9;41
AMAZONAS;2014;98;20;104;4;7;3;18;4;64;163;5;19;0;0;11;1;11;11;51
ANCASH CHIMBOTE;2014;131;24;996;3;26;33;3;4;558;251;60;237;24;10;96;1;105;22;10
ANCASH HUARAZ;2014;422;332;669;3;10;5;14;11;150;117;6;13;8;142;14;0;21;193;31
APURIMAC;2014;388;39;199;6;33;8;7;12;216;223;4;20;5;62;5;1;21;2;32
AREQUIPA;2014;1305;51;2059;92;231;542;5;963;1649;399;441;502;888;433;187;1;1269;46;72
AYACUCHO;2014;935;135;688;0;18;9;6;5;91;245;5;19;2;296;5;0;222;3;17
CAJAMARCA;2014;908;22;1618;1;6;20;138;119;361;121;24;32;22;59;2;0;26;107;202
CALLAO;2014;71;28;314;10;188;160;18;80;287;74;113;48;11;23;139;1;118;124;13
CUSCO;2014;1493;18;2541;17;757;102;19;377;858;103;241;37;153;271;8;2;531;3;606
HUANCAVELICA;2014;141;11;164;3;15;59;9;3;36;13;10;7;14;79;8;0;25;5;157
HUANUCO;2014;591;16;762;0;18;1;8;6;363;77;8;11;7;16;12;1;6;11;34
